Año,Trimestre,Provincia,HASTA 512 kbps,+ 512 Kbps - 1 Mbps,+ 1 Mbps - 6 Mbps,+ 6 Mbps - 10 Mbps,+ 10 Mbps - 20 Mbps,+ 20 Mbps - 30 Mbps,+ 30 Mbps,OTROS,Total,Velocidad_promedio,Acceso_mayor_20_Mbps,Nuevo_acceso,KPI_Aumento_Acceso
2024,2,Chubut,125.0,1139.0,43699.0,31971.0,22696.0,19827.0,38212.0,16554.0,174223.0,15.946212612571244,58039.0,60940.950000000004,5.000000000000007
2024,2,Formosa,85.0,142.0,21748.0,10864.0,3989.0,290.0,25541.0,291.0,62950.0,17.37924575059571,25831.0,27122.550000000003,5.0000000000000115
2024,2,La Pampa,71.0,1330.0,43807.0,17017.0,15353.0,5168.0,38916.0,1601.0,123263.0,16.744346251510997,44084.0,46288.200000000004,5.00000000000001
2024,2,Neuquén,146.0,990.0,35229.0,13345.0,10590.0,3367.0,79985.0,19890.0,163542.0,18.700081642636142,83352.0,87519.6,5.000000000000007
2024,2,Salta,117.0,853.0,25886.0,62722.0,2619.0,68.0,102535.0,6541.0,201341.0,19.439254319785835,102603.0,107733.15000000001,5.000000000000009
2024,2,San Juan,27.0,2022.0,22029.0,13028.0,11532.0,974.0,33634.0,22744.0,105990.0,14.467117879045194,34608.0,36338.4,5.000000000000004
2024,2,Santa Cruz,56.0,434.0,7768.0,9578.0,10592.0,8874.0,12374.0,33785.0,83461.0,11.887356633637268,21248.0,22310.4,5.000000000000006
2024,2,Santiago Del Estero,181.0,1084.0,9905.0,52697.0,24388.0,3864.0,32306.0,889.0,125314.0,17.240186028695916,36170.0,37978.5,5.0
2024,2,Tierra Del Fuego,22.0,834.0,10152.0,9645.0,10738.0,16737.0,6157.0,7124.0,61409.0,17.257849240339365,22894.0,24038.7,5.000000000000003
